"Date","Wind10int"
2019-12-24,4.3557134
2019-12-25,3.7894638
2019-12-26,2.3618753
2019-12-27,2.4601216
2019-12-28,2.1197844
2019-12-29,2.6621785
2019-12-30,3.915352
2019-12-31,3.3467672
2020-01-01,2.4350553
2020-01-02,3.2680168
2020-01-03,5.2318716
2020-01-04,5.586286
2020-01-05,2.8551936
2020-01-06,3.0815442
2020-01-07,3.7355044
2020-01-08,4.2358384
2020-01-09,4.1460533
2020-01-10,4.6867275
2020-01-11,3.678634
2020-01-12,4.9057336
2020-01-13,3.6753864
2020-01-14,5.9023256
2020-01-15,5.519738
2020-01-16,3.2207873
2020-01-17,3.8815093
2020-01-18,3.9476516
2020-01-19,2.698496
2020-01-20,2.5527701
2020-01-21,2.8532119
2020-01-22,2.5225646
2020-01-23,2.098494
2020-01-24,2.499821
2020-01-25,2.178066
2020-01-26,2.5919662
2020-01-27,4.26749
2020-01-28,6.1162333
2020-01-29,5.831297
2020-01-30,5.7275953
2020-01-31,6.189888
2020-02-01,6.1959157
2020-02-02,5.3361874
2020-02-03,5.113751
2020-02-04,5.57245
2020-02-05,3.9681485
2020-02-06,3.0369174
2020-02-07,2.388647
2020-02-08,3.3717444
2020-02-09,7.3363657
2020-02-10,8.984318
2020-02-11,8.400629
2020-02-12,7.0785327
2020-02-13,4.624657
2020-02-14,3.4128277
2020-02-15,4.515473
2020-02-16,7.5052085
2020-02-17,6.065076
2020-02-18,6.4106755
2020-02-19,5.6976624
2020-02-20,5.132594
2020-02-21,6.020347
2020-02-22,7.0034833
2020-02-23,7.3652167
2020-02-24,5.0564923
2020-02-25,6.194035
2020-02-26,4.929128
2020-02-27,4.0113807
2020-02-28,4.973752
2020-02-29,5.8720155
2020-03-01,5.4214196
2020-03-02,3.4452474
2020-03-03,3.5658631
2020-03-04,3.1025834
2020-03-05,3.5763805
2020-03-06,4.999622
2020-03-07,4.12184
2020-03-08,4.3420596
2020-03-09,3.5880108
2020-03-10,6.2409654
2020-03-11,5.794048
2020-03-12,6.866176
2020-03-13,5.843422
2020-03-14,2.4202743
2020-03-15,4.4258957
2020-03-16,2.5362375
2020-03-17,2.6176047
2020-03-18,3.0368993
2020-03-19,1.7820264
2020-03-20,3.0210798
2020-03-21,5.103591
2020-03-22,4.9064565
2020-03-23,4.031195
2020-03-24,3.763691
2020-03-25,4.0978413
2020-03-26,4.259051
2020-03-27,3.6490397
2020-03-28,3.294133
2020-03-29,5.1593976
2020-03-30,3.3326833
2020-03-31,2.495577
2020-04-01,2.6758428
2020-04-02,3.5506408
2020-04-03,3.6932647
2020-04-04,2.1410725
2020-04-05,3.8706796
2020-04-06,3.0981452
2020-04-07,2.5406418
2020-04-08,2.1180754
2020-04-09,2.4434378
2020-04-10,2.2125373
2020-04-11,1.9157814
2020-04-12,2.3681839
2020-04-13,4.7541437
2020-04-14,3.5828352
2020-04-15,3.092921
2020-04-16,2.5193233
2020-04-17,1.9345571
2020-04-18,2.516421
2020-04-19,3.9103205
2020-04-20,5.429875
2020-04-21,5.9751167
2020-04-22,4.599502
2020-04-23,2.357983
