Gastag,Restlast[kWh]*,,
07.01.2020,2032846385,,
08.01.2020,1828071358,,
09.01.2020,1578720820,,
10.01.2020,1656199592,,
11.01.2020,1899543819,,
12.01.2020,1950081852,,
13.01.2020,1884022443,,
14.01.2020,1725786137,,
15.01.2020,1560654421,,
16.01.2020,1651501190,,
17.01.2020,1726101936,,
18.01.2020,1885288599,,
19.01.2020,2007878780,,
20.01.2020,2128751906,,
21.01.2020,2261177415,,
22.01.2020,2297843002,,
23.01.2020,2263155571,,
24.01.2020,2332574657,,
25.01.2020,2264796849,,
26.01.2020,2106548152,,
27.01.2020,1930462821,,
28.01.2020,2020541282,,
29.01.2020,2088848396,,
30.01.2020,1822283668,,
31.01.2020,1461177892,,
01.02.2020,1403552451,,
02.02.2020,1521572683,,
03.02.2020,1572943602,,
04.02.2020,1865114744,,
05.02.2020,1973275146,,
06.02.2020,2037420465,,
07.02.2020,1989833394,,
08.02.2020,1897874549,,
09.02.2020,1601967550,,
10.02.2020,1750582665,,
11.02.2020,1997959058,,
12.02.2020,2073858525,,
13.02.2020,2054219806,,
14.02.2020,1890345936,,
15.02.2020,1626046190,,
16.02.2020,1366621503,,
17.02.2020,1570012167,,
18.02.2020,1711027535,,
19.02.2020,1838066294,,
20.02.2020,1791651013,,
21.02.2020,1786647773,,
22.02.2020,1627188583,,
23.02.2020,1614486752,,
24.02.2020,1689593537,,
25.02.2020,1674760219,,
26.02.2020,1974553642,,
27.02.2020,2069267886,,
28.02.2020,1934443073,,
29.02.2020,1651605881,,
01.03.2020,1650645590,,
02.03.2020,1669431513,,
03.03.2020,1785559984,,
04.03.2020,1824198445,,
05.03.2020,1774173862,,
06.03.2020,1847692263,,
07.03.2020,1779714075,,
08.03.2020,1606148022,,
09.03.2020,1611827341,,
10.03.2020,1631125802,,
11.03.2020,1322450823,,
12.03.2020,1371306804,,
13.03.2020,1611355988,,
14.03.2020,1591595761,,
15.03.2020,1402605333,,
16.03.2020,1236757685,,
17.03.2020,1194287472,,
18.03.2020,1113148043,,
19.03.2020,1079557181,,
20.03.2020,1264123642,,
21.03.2020,1602736111,,
22.03.2020,1727371147,,
23.03.2020,1836146676,,
24.03.2020,1789407650,,
25.03.2020,1717583971,,
26.03.2020,1634335546,,
27.03.2020,1336996201,,
28.03.2020,1189656176,,
29.03.2020,1711121864,,
30.03.2020,1855043787,,
31.03.2020,1786158560,,
01.04.2020,1677503734,,
02.04.2020,1511566803,,
03.04.2020,1481685615,,
04.04.2020,1294889675,,
05.04.2020,1045624003,,
06.04.2020,828523261,,
07.04.2020,735434366,,
08.04.2020,645349866,,
09.04.2020,656006302,,
10.04.2020,722511518,,
11.04.2020,694417168,,
12.04.2020,590492162,,
13.04.2020,906370912,,
14.04.2020,1168991341,,
15.04.2020,1015076974,,
16.04.2020,767230908,,
17.04.2020,688337290,,
18.04.2020,643738753,,
19.04.2020,716951836,,
20.04.2020,761867279,,
21.04.2020,710959937,,
22.04.2020,632393720,,
23.04.2020,570734146,,
24.04.2020,561796398,,
25.04.2020,659873506,,
26.04.2020,665984810,,
27.04.2020,565957060,,
28.04.2020,592320504,,
29.04.2020,666033865,,
30.04.2020,713735125,,
01.05.2020,763212915,,
02.05.2020,862750042,,
03.05.2020,798440676,,
04.05.2020,840212233,,
05.05.2020,891471109,,
06.05.2020,813618925,,
07.05.2020,697499856,,
08.05.2020,541882957,,
09.05.2020,449572566,,
10.05.2020,471177072,,
11.05.2020,897974408,,
12.05.2020,960899412,,
13.05.2020,950203280,,
14.05.2020,931225446,,
15.05.2020,880135571,,
16.05.2020,735956445,,
17.05.2020,642921785,,
18.05.2020,524890219,,
19.05.2020,454068010,,
20.05.2020,442645670,,
21.05.2020,377748546,,
22.05.2020,350473617,,
23.05.2020,453080209,,
24.05.2020,536055480,,
25.05.2020,558636268,,
26.05.2020,507859450,,
27.05.2020,434071016,,
28.05.2020,446858460,,
29.05.2020,431773947,,
30.05.2020,418454276,,
31.05.2020,411088134,,
01.06.2020,346798016,,
02.06.2020,296318237,,
03.06.2020,285047076,,
04.06.2020,370795944,,
05.06.2020,494357000,,
06.06.2020,508874159,,
07.06.2020,512324290,,
08.06.2020,463922894,,
09.06.2020,471730440,,
10.06.2020,463584437,,
11.06.2020,430339130,,
12.06.2020,318909186,,
13.06.2020,269894771,,
14.06.2020,304695985,,
15.06.2020,318982951,,
16.06.2020,311397023,,
17.06.2020,292005696,,
18.06.2020,301684373,,
19.06.2020,310621393,,
20.06.2020,295846548,,
21.06.2020,278598759,,
22.06.2020,266210287,,
23.06.2020,259764631,,
24.06.2020,242568239,,
25.06.2020,234760144,,
26.06.2020,220419877,,
27.06.2020,209660257,,
28.06.2020,227782945,,
29.06.2020,256262291,,
30.06.2020,269395142,,
01.07.2020,258948787,,
02.07.2020,257649721,,
03.07.2020,273094373,,
04.07.2020,256982144,,
05.07.2020,253126650,,
06.07.2020,298490313,,
07.07.2020,322404880,,
08.07.2020,349014011,,
09.07.2020,321709540,,
10.07.2020,328882026,,
11.07.2020,331227325,,
12.07.2020,316520197,,
13.07.2020,284045770,,
14.07.2020,279607527,,
15.07.2020,304252979,,
16.07.2020,330468387,,
17.07.2020,294762102,,
18.07.2020,259164998,,
19.07.2020,230120475,,
20.07.2020,244775264,,
21.07.2020,267285974,,
22.07.2020,273373520,,
23.07.2020,256468722,,
24.07.2020,240469159,,
25.07.2020,227402071,,
26.07.2020,234955582,,
27.07.2020,235649074,,
28.07.2020,227783788,,
29.07.2020,261780494,,
30.07.2020,245028046,,
31.07.2020,221967810,,
01.08.2020,201702501,,
02.08.2020,217684029,,
03.08.2020,240593088,,
04.08.2020,263720444,,
05.08.2020,242990082,,
06.08.2020,217689135,,
07.08.2020,202805239,,
08.08.2020,182891686,,
09.08.2020,181417802,,
10.08.2020,186051108,,
11.08.2020,184422906,,
12.08.2020,178264831,,
13.08.2020,186101313,,
14.08.2020,197844086,,
15.08.2020,191421654,,
16.08.2020,193504477,,
17.08.2020,194927801,,
18.08.2020,207215847,,
19.08.2020,209376412,,
20.08.2020,194632634,,
21.08.2020,182521870,,
22.08.2020,200041938,,
23.08.2020,221543138,,
24.08.2020,248777138,,
25.08.2020,254512466,,
26.08.2020,271041752,,
27.08.2020,278571020,,
28.08.2020,272263649,,
29.08.2020,289015207,,
30.08.2020,317105347,,
31.08.2020,332283709,,
01.09.2020,354678020,,
02.09.2020,365738499,,
03.09.2020,374075700,,
04.09.2020,305006994,,
05.09.2020,337918944,,
06.09.2020,392946878,,
07.09.2020,394616923,,
08.09.2020,368542215,,
09.09.2020,326575952,,
10.09.2020,358333041,,
11.09.2020,346579393,,
12.09.2020,328845278,,
13.09.2020,315538093,,
14.09.2020,275867676,,
15.09.2020,244629900,,
16.09.2020,253623690,,
17.09.2020,329115377,,
18.09.2020,374140744,,
19.09.2020,375578227,,
20.09.2020,373150701,,
21.09.2020,364812925,,
22.09.2020,343553899,,
23.09.2020,323270549,,
24.09.2020,356466743,,
