Date,"Physical Flow,kWh/day"
18.12.2021,1752730841.00
19.12.2021,1763085157.00
20.12.2021,1755905841.00
21.12.2021,1754031915.00
22.12.2021,1756128980.00
23.12.2021,1694581237.00
24.12.2021,1750382285.00
25.12.2021,1752333065.00
26.12.2021,1771487545.00
27.12.2021,1746443304.00
28.12.2021,1763123207.00
29.12.2021,1757266551.00
30.12.2021,1757731603.00
31.12.2021,1759260441.00
01.01.2022,1640566961.00
02.01.2022,1653452863.00
03.01.2022,1633929892.00
04.01.2022,1630217013.00
05.01.2022,1653230755.00
06.01.2022,1639257203.00
07.01.2022,1653284401.00
08.01.2022,1628136936.00
09.01.2022,1627860732.00
10.01.2022,1627866610.00
11.01.2022,1628123255.00
12.01.2022,1627963591.00
13.01.2022,1627349350.00
14.01.2022,1626087590.00
15.01.2022,1630270992.00
16.01.2022,1627829273.00
17.01.2022,1653784584.00
18.01.2022,1628287206.00
19.01.2022,1627750924.00
20.01.2022,1628735082.00
21.01.2022,1628282851.00
22.01.2022,1627715977.00
23.01.2022,1627907695.00
24.01.2022,1627844989.00
25.01.2022,1654468755.00
26.01.2022,1653421449.00
27.01.2022,1653364085.00
28.01.2022,1654465957.00
29.01.2022,1653390241.00
30.01.2022,1654249768.00
31.01.2022,1653188483.00
01.02.2022,1755547325.00
02.02.2022,1754942842.00
03.02.2022,1762189281.00
04.02.2022,1753895916.00
05.02.2022,1759501221.00
06.02.2022,1755931050.00
07.02.2022,1756303201.00
08.02.2022,1753110678.00
09.02.2022,1757218089.00
10.02.2022,1715397318.00
11.02.2022,1713271956.00
12.02.2022,1713381525.00
13.02.2022,1712925905.00
14.02.2022,1724794674.00
15.02.2022,1755902108.00
16.02.2022,1643142959.00
17.02.2022,1643172521.00
18.02.2022,1700506156.00
19.02.2022,1643306199.00
20.02.2022,1643177233.00
21.02.2022,1643651996.00
22.02.2022,1697481896.00
23.02.2022,1761497857.00
24.02.2022,1754045262.00
25.02.2022,1752006421.00
26.02.2022,1762856540.00
27.02.2022,1754248750.00
28.02.2022,1755645452.00
01.03.2022,1747189738.00
02.03.2022,1757159842.00
03.03.2022,1705015435.00
04.03.2022,1798069778.00
05.03.2022,1767870553.00
06.03.2022,1753820335.00
07.03.2022,1759060181.00
08.03.2022,1755634518.00
09.03.2022,1755931684.00
10.03.2022,1754014172.00
11.03.2022,1759532794.00
12.03.2022,1751919088.00
13.03.2022,1753510074.00
14.03.2022,1760539832.00
15.03.2022,1753912597.00
16.03.2022,1618036023.00
17.03.2022,1498427595.00
18.03.2022,1373947056.00
19.03.2022,1378865579.00
20.03.2022,1378545813.00
21.03.2022,1454205690.00
22.03.2022,1575162969.00
23.03.2022,1566190884.00
24.03.2022,1681811852.00
25.03.2022,1760963995.00
26.03.2022,1681178216.00
27.03.2022,1761026374.00
28.03.2022,1761208906.00
29.03.2022,1760755376.00
30.03.2022,1756433813.00
31.03.2022,1755199793.00
01.04.2022,1751092658.00
02.04.2022,1761511570.00
03.04.2022,1756150621.00
04.04.2022,1755913261.00
05.04.2022,1762364120.00
06.04.2022,1755812997.00
07.04.2022,1752587509.00
08.04.2022,1754630616.00
09.04.2022,1756042918.00
10.04.2022,1754555730.00
11.04.2022,1763826987.00
12.04.2022,1756375546.00
13.04.2022,1755562127.00
14.04.2022,1756064830.00
15.04.2022,1755023452.00
16.04.2022,1756062165.00
17.04.2022,1753794628.00
18.04.2022,1755819070.00
19.04.2022,1751440496.00
20.04.2022,1758509642.00
21.04.2022,1757476442.00
22.04.2022,1752425073.00
23.04.2022,1743574605.00
24.04.2022,1755902298.00
25.04.2022,1761478948.00
26.04.2022,1759670382.00
27.04.2022,1734160075.00
28.04.2022,1733610169.00
29.04.2022,1731551902.00
30.04.2022,1731746240.00
01.05.2022,1733959042.00
02.05.2022,1758090523.00
03.05.2022,1755497516.00
04.05.2022,1757012976.00
05.05.2022,1755635355.00
06.05.2022,1756184547.00
07.05.2022,1757500561.00
08.05.2022,1756074774.00
09.05.2022,1758494791.00
10.05.2022,1756039751.00
11.05.2022,1755523422.00
12.05.2022,1751577307.00
13.05.2022,1756956681.00
14.05.2022,1755749471.00
15.05.2022,1760007215.00
16.05.2022,1758929277.00
17.05.2022,1756009937.00
18.05.2022,1754212556.00
19.05.2022,1757286811.00
20.05.2022,1756498924.00
21.05.2022,1756108008.00
22.05.2022,1756191203.00
23.05.2022,1756554018.00
24.05.2022,1755788777.00
25.05.2022,1756080833.00
26.05.2022,1756160406.00
27.05.2022,1726497504.00
28.05.2022,1757094830.00
29.05.2022,1755456571.00
30.05.2022,1757395077.00
31.05.2022,1578136247.00
01.06.2022,1751796914.00
02.06.2022,1739591804.00
03.06.2022,1718375959.00
04.06.2022,1600083205.00
05.06.2022,1601124380.00
06.06.2022,1625301653.00
07.06.2022,1583177961.00
08.06.2022,1552886746.00
09.06.2022,1490343536.00
10.06.2022,1506267238.00
11.06.2022,1464376235.00
12.06.2022,1496351888.00
13.06.2022,1204229445.00
14.06.2022,1049470382.00
15.06.2022,986722676.00
16.06.2022,718919871.00
17.06.2022,702476171.00
18.06.2022,700541122.00
19.06.2022,702758478.00
20.06.2022,702771894.00
21.06.2022,703628872.00
22.06.2022,702452718.00
23.06.2022,702522758.00
24.06.2022,703138707.00
25.06.2022,702676434.00
26.06.2022,702699080.00
27.06.2022,703166556.00
28.06.2022,702685424.00
29.06.2022,703353008.00
30.06.2022,702637157.00
01.07.2022,703065759.00
02.07.2022,702383247.00
03.07.2022,702588240.00
04.07.2022,707955750.00
05.07.2022,696658815.00
06.07.2022,704199166.00
07.07.2022,702704931.00
08.07.2022,702805448.00
09.07.2022,708261244.00
10.07.2022,697870147.00
11.07.2022,60168538.00
12.07.2022,0.00
13.07.2022,0.00
14.07.2022,0.00
