"Date","Cloud"
2020-01-14,93.56259
2020-01-15,54.93596
2020-01-16,31.421907
2020-01-17,49.76254
2020-01-18,74.06259
2020-01-19,61.521275
2020-01-20,62.204487
2020-01-21,28.428137
2020-01-22,63.482033
2020-01-23,61.373177
2020-01-24,50.694504
2020-01-25,81.25728
2020-01-26,86.77379
2020-01-27,91.74733
2020-01-28,90.672165
2020-01-29,79.73383
2020-01-30,95.48443
2020-01-31,96.500595
2020-02-01,87.26827
2020-02-02,94.17879
2020-02-03,93.52218
2020-02-04,73.81344
2020-02-05,51.976818
2020-02-06,64.20634
2020-02-07,47.79119
2020-02-08,54.243156
2020-02-09,79.27174
2020-02-10,81.767876
2020-02-11,74.5372
2020-02-12,68.68124
2020-02-13,83.78725
2020-02-14,89.17827
2020-02-15,85.72646
2020-02-16,98.27678
2020-02-17,81.56641
2020-02-18,58.405716
2020-02-19,73.882744
2020-02-20,83.139656
2020-02-21,72.60767
2020-02-22,84.32675
2020-02-23,93.2485
2020-02-24,85.37771
2020-02-25,72.24688
2020-02-26,81.9525
2020-02-27,87.246315
2020-02-28,79.10858
2020-02-29,90.07866
2020-03-01,69.61972
2020-03-02,85.26365
2020-03-03,76.59479
2020-03-04,52.570522
2020-03-05,82.10294
2020-03-06,96.305
2020-03-07,70.160995
2020-03-08,85.55099
2020-03-09,71.27201
2020-03-10,96.03647
2020-03-11,79.20253
2020-03-12,60.246666
2020-03-13,52.686813
2020-03-14,48.73964
2020-03-15,67.98639
2020-03-16,52.609425
2020-03-17,64.455055
2020-03-18,61.645855
2020-03-19,55.993248
2020-03-20,72.49521
2020-03-21,66.399925
2020-03-22,16.24924
2020-03-23,2.7746394
2020-03-24,9.974358
2020-03-25,17.033707
2020-03-26,17.844828
2020-03-27,11.2574
2020-03-28,11.764468
2020-03-29,61.601658
2020-03-30,40.559265
2020-03-31,37.048187
2020-04-01,21.25182
2020-04-02,35.497814
2020-04-03,51.05483
2020-04-04,25.01699
2020-04-05,2.5142357
2020-04-06,1.4129533
2020-04-07,7.2705903
2020-04-08,13.762976
2020-04-09,29.369389
2020-04-10,43.057556
2020-04-11,38.733574
2020-04-12,20.65463
2020-04-13,52.239098
2020-04-14,49.734303
2020-04-15,34.761326
2020-04-16,55.554657
2020-04-17,31.170603
2020-04-18,43.62167
2020-04-19,27.778961
2020-04-20,6.714844
2020-04-21,7.71237
2020-04-22,0.14456616
2020-04-23,15.07951
2020-04-24,58.22187
2020-04-25,41.387436
2020-04-26,28.971642
2020-04-27,32.52648
2020-04-28,79.584526
2020-04-29,82.472824
2020-04-30,88.89618
2020-05-01,64.340164
2020-05-02,55.656677
2020-05-03,70.85021
2020-05-04,67.0591
2020-05-05,44.181103
2020-05-06,23.061209
2020-05-07,34.945587
2020-05-08,75.16798
2020-05-09,60.090626
2020-05-10,84.23905
2020-05-11,79.846756
2020-05-12,60.0755
2020-05-13,72.289566
2020-05-14,59.160736
2020-05-15,49.41093
2020-05-16,51.66757
2020-05-17,38.304615
2020-05-18,57.108948
2020-05-19,52.11613
2020-05-20,59.083042
2020-05-21,39.70687
2020-05-22,91.09511
2020-05-23,84.992516
2020-05-24,63.719925
2020-05-25,67.983826
2020-05-26,56.746212
2020-05-27,58.680428
2020-05-28,34.72343
2020-05-29,28.696756
2020-05-30,52.925476
2020-05-31,67.86581
2020-06-01,10.39753
2020-06-02,43.506565
2020-06-03,82.67151
2020-06-04,97.74253
2020-06-05,80.07877
2020-06-06,62.355007
2020-06-07,73.112785
2020-06-08,64.10225
2020-06-09,84.039696
2020-06-10,91.972466
2020-06-11,85.86236
2020-06-12,46.558285
2020-06-13,61.118057
2020-06-14,84.85443
2020-06-15,76.13873
2020-06-16,73.83316
2020-06-17,80.56544
2020-06-18,80.87079
2020-06-19,89.99809
2020-06-20,83.02669
2020-06-21,56.110977
2020-06-22,37.030025
2020-06-23,13.527965
2020-06-24,27.565855
2020-06-25,33.387455
2020-06-26,36.536804
2020-06-27,53.43936
2020-06-28,83.819466
2020-06-29,65.15015
2020-06-30,63.52819
2020-07-01,61.786663
2020-07-02,67.98073
2020-07-03,68.698006
2020-07-04,73.506065
2020-07-05,70.09238
2020-07-06,44.751324
2020-07-07,58.360317
2020-07-08,80.13309
2020-07-09,76.30343
2020-07-10,71.86635
2020-07-11,45.44424
2020-07-12,45.431488
2020-07-13,58.577637
2020-07-14,72.578026
2020-07-15,79.9382
2020-07-16,76.050224
2020-07-17,63.690582
2020-07-18,63.88185
2020-07-19,65.735985
2020-07-20,55.166653
2020-07-21,31.85321
2020-07-22,48.404625
2020-07-23,44.493595
2020-07-24,59.316616
2020-07-25,68.588394
2020-07-26,78.131134
2020-07-27,69.519585
2020-07-28,52.462685
2020-07-29,39.59688
2020-07-30,28.909971
2020-07-31,14.380166
2020-08-01,54.674747
2020-08-02,92.99978
2020-08-03,90.71785
2020-08-04,67.28759
2020-08-05,28.588644
2020-08-06,10.633135
2020-08-07,8.210986
2020-08-08,17.941534
2020-08-09,46.20873
2020-08-10,42.966274
2020-08-11,42.356777
2020-08-12,40.570927
2020-08-13,69.33561
2020-08-14,85.93295
2020-08-15,62.968067
2020-08-16,42.69815
2020-08-17,75.42944
2020-08-18,76.67263
2020-08-19,55.66537
2020-08-20,64.59058
2020-08-21,45.004436
2020-08-22,70.80147
2020-08-23,61.07839
2020-08-24,72.52631
2020-08-25,62.280113
2020-08-26,71.33488
2020-08-27,73.88441
2020-08-28,77.65216
2020-08-29,73.553474
2020-08-30,84.61257
2020-08-31,75.21432
2020-09-01,68.25549
2020-09-02,61.884407
2020-09-03,75.942505
2020-09-04,67.8816
2020-09-05,68.327156
2020-09-06,61.904938
2020-09-07,46.115204
2020-09-08,54.866856
2020-09-09,52.58112
2020-09-10,62.444115
2020-09-11,43.267254
2020-09-12,36.339436
2020-09-13,65.642555
2020-09-14,42.858467
2020-09-15,29.607758
2020-09-16,43.45655
2020-09-17,33.12681
2020-09-18,13.181719
2020-09-19,42.805397
2020-09-20,32.44082
2020-09-21,10.6011715
2020-09-22,21.568975
2020-09-23,53.881927
2020-09-24,82.530685
2020-09-25,93.56682
2020-09-26,98.692085
2020-09-27,87.80792
2020-09-28,72.29383
2020-09-29,74.55378
2020-09-30,71.99415
2020-10-01,79.374504
2020-10-02,89.59382
2020-10-03,78.04887
2020-10-04,53.372467
2020-10-05,82.46543
2020-10-06,80.52312
2020-10-07,66.245224
2020-10-08,90.26458
2020-10-09,83.56709
2020-10-10,69.802734
2020-10-11,65.01462
2020-10-12,66.8843
2020-10-13,79.79905
2020-10-14,95.2765
2020-10-15,96.97706
2020-10-16,89.457985
2020-10-17,79.635
2020-10-18,76.76062
2020-10-19,68.95205
2020-10-20,97.18306
2020-10-21,72.72242
2020-10-22,65.82246
2020-10-23,87.65643
2020-10-24,73.085175
2020-10-25,77.74976
2020-10-26,90.34077
2020-10-27,72.35298
2020-10-28,81.23728
2020-10-29,83.4545
2020-10-30,95.34643
2020-10-31,76.01565
2020-11-01,95.88909
2020-11-02,88.038
2020-11-03,67.361084
2020-11-04,54.778587
2020-11-05,48.632534
2020-11-06,53.864082
2020-11-07,18.948349
2020-11-08,39.730816
2020-11-09,63.222355
2020-11-10,87.25126
2020-11-11,94.51874
2020-11-12,78.86544
2020-11-13,73.866425
2020-11-14,71.32631
2020-11-15,81.79426
2020-11-16,78.37241
2020-11-17,94.334404
2020-11-18,49.624306
2020-11-19,68.05107
2020-11-20,44.731537
2020-11-21,73.270004
2020-11-22,84.566185
2020-11-23,66.06286
2020-11-24,78.2045
2020-11-25,60.191933
2020-11-26,65.65507
2020-11-27,59.151405
2020-11-28,69.93731
2020-11-29,74.26486
2020-11-30,62.203224
2020-12-01,94.95421
2020-12-02,81.98892
2020-12-03,85.32747
2020-12-04,87.447395
2020-12-05,89.609474
2020-12-06,98.227776
2020-12-07,89.609436
2020-12-08,78.75282
2020-12-09,98.26131
2020-12-10,94.1059
2020-12-11,96.87623
2020-12-12,93.37351
2020-12-13,95.467064
2020-12-14,91.25777
2020-12-15,95.81405
2020-12-16,82.553474
2020-12-17,71.03832
2020-12-18,59.85579
2020-12-19,52.184517
2020-12-20,87.969315
2020-12-21,81.45698
2020-12-22,96.05017
2020-12-23,96.48923
2020-12-24,89.1149
2020-12-25,64.06528
2020-12-26,84.45415
2020-12-27,95.78585
2020-12-28,94.87853
2020-12-29,80.497475
2020-12-30,64.148674
2020-12-31,84.6983
2021-01-01,87.19584
2021-01-02,85.76655
2021-01-03,95.91236
2021-01-04,94.62499
2021-01-05,96.53969
2021-01-06,98.618576
2021-01-07,85.831985
2021-01-08,87.689445
2021-01-09,83.258194
2021-01-10,78.03446
2021-01-11,81.89502
2021-01-12,80.98223
2021-01-13,70.14855
2021-01-14,76.52309
2021-01-15,82.389465
2021-01-16,85.773926
2021-01-17,90.098885
2021-01-18,94.75298
2021-01-19,98.61294
2021-01-20,92.721245
2021-01-21,80.22827
2021-01-22,83.66263
2021-01-23,96.5543
2021-01-24,90.55598
2021-01-25,82.47386
2021-01-26,77.48714
2021-01-27,92.66368
2021-01-28,97.64082
2021-01-29,94.374985
2021-01-30,87.1359
2021-01-31,74.09156
2021-02-01,95.47452
2021-02-02,96.838806
2021-02-03,94.22609
2021-02-04,86.89987
2021-02-05,95.910484
2021-02-06,94.97911
2021-02-07,98.35288
2021-02-08,94.39297
2021-02-09,85.1443
2021-02-10,84.064926
2021-02-11,64.2538
2021-02-12,40.47359
2021-02-13,22.269375
