"Gasday","HGasSLPsyn","HGasSLPana","LGasSLPsyn","LGasSLPana","HGasRLMmT","LGasRLMmT","HGasRLMoT","LGasRLMoT","Status","Unit"
2022-03-18,919699104,200974896,228906024,64093824,1414040808,223534776,78043844,4286692,final,kWh
2022-03-19,973051416,213910608,232537224,71798976,1143484536,188950368,66796812,1206113,final,kWh
2022-03-20,976385472,203980056,236098296,65219712,1146822312,188821056,72132407,1487856,final,kWh
2022-03-21,929298264,199276608,201310944,62603088,1463557104,208861632,81528059,6517760,final,kWh
2022-03-22,864306264,187305288,182851056,64014120,1482416640,207943488,78492283,6558115,final,kWh
2022-03-23,798448056,168727776,173318808,52268760,1438273344,211331760,79840091,6492778,final,kWh
2022-03-24,760923072,160463496,169187304,48827520,1431032208,213792168,79089234,6623968,final,kWh
2022-03-25,739701240,153309864,169557480,48190416,1288944888,196914048,72003613,4838677,final,kWh
2022-03-26,681529537,143238733,161803666,45259561,1036852075,157417198,65434072,1048753,final,kWh
2022-03-27,676324992,143501112,168342672,46464192,1103791872,165783744,71133322,1346068,final,kWh
2022-03-28,662688960,141924816,172188888,42432504,1324367280,195144888,70306683,6133535,final,kWh
2022-03-29,702097728,149896800,185236128,42082104,1442280792,201039648,75281681,8418082,final,kWh
2022-03-30,874279944,164445072,232764360,44527152,1514481168,209748432,82014601,6043749,final,kWh
2022-03-31,1024936440,179171784,268410576,50451312,1481403072,228501624,82718595,3212303,final,kWh
2022-04-01,1249863072,201292344,302012568,56435544,1463695992,241525488,83185787,4573375,final,kWh
2022-04-02,1375120416,229551192,310202496,72887832,1343439144,204673032,90044511,1352399,final,kWh
2022-04-03,1442395632,255810264,322442184,91453680,1287982320,198992592,82246071,1306201,final,kWh
2022-04-04,1379400720,248072376,306159984,89841096,1397452992,241996680,79432461,1813418,final,kWh
2022-04-05,1126881168,221885136,252084648,78807024,1371255840,224447784,85110186,4363423,final,kWh
2022-04-06,870791664,217724352,207068208,84073104,1241975520,218558856,69599606,2334685,final,kWh
2022-04-07,813772920,196261704,204834744,70198584,1269153552,223713120,66032781,4969298,final,kWh
2022-04-08,897243240,189754728,225046992,68938776,1327416768,218227344,80018255,6145382,final,kWh
2022-04-09,998696520,192169080,243133656,67241808,1146575904,191467992,70019810,4370473,final,kWh
2022-04-10,1085501040,206576304,254217312,71712672,1184565144,193032816,76490549,5370961,final,kWh
2022-04-11,1004188656,207316680,226979352,71190816,1333220112,210640752,82468056,6440824,final,kWh
2022-04-12,740509560,189344808,158801088,66764136,1209891600,188323824,72622647,1249846,final,kWh
