"Date","RH"
2019-09-02,64.10641
2019-09-03,64.88024
2019-09-04,64.01304
2019-09-05,70.89631
2019-09-06,65.55267
2019-09-07,75.697845
2019-09-08,82.0463
2019-09-09,86.578514
2019-09-10,72.90579
2019-09-11,68.89726
2019-09-12,74.0673
2019-09-13,75.024864
2019-09-14,69.70906
2019-09-15,65.281075
2019-09-16,75.21091
2019-09-17,73.212585
2019-09-18,66.56486
2019-09-19,66.0539
2019-09-20,67.2877
2019-09-21,62.12821
2019-09-22,62.057976
2019-09-23,81.36066
2019-09-24,83.025
2019-09-25,87.704544
2019-09-26,88.50648
2019-09-27,87.03738
2019-09-28,80.57544
2019-09-29,77.9679
2019-09-30,77.32664
2019-10-01,84.425606
2019-10-02,82.107506
2019-10-03,84.03553
2019-10-04,88.87517
2019-10-05,85.02217
2019-10-06,84.22751
2019-10-07,80.76867
2019-10-08,89.35
2019-10-09,86.10088
2019-10-10,82.083755
2019-10-11,80.29042
2019-10-12,77.14709
2019-10-13,76.23766
2019-10-14,76.47877
2019-10-15,84.757286
2019-10-16,84.3348
2019-10-17,81.69123
2019-10-18,82.67215
2019-10-19,84.47114
2019-10-20,88.1647
2019-10-21,88.13005
2019-10-22,86.99545
2019-10-23,89.56097
2019-10-24,86.99262
2019-10-25,79.40766
2019-10-26,76.69502
2019-10-27,79.40961
2019-10-28,85.8657
2019-10-29,84.16674
2019-10-30,82.87687
2019-10-31,81.66943
2019-11-01,89.02398
2019-11-02,88.93824
2019-11-03,89.206474
2019-11-04,89.29802
2019-11-05,89.690506
2019-11-06,91.181145
2019-11-07,88.20343
2019-11-08,91.08371
2019-11-09,91.46213
2019-11-10,91.00128
2019-11-11,88.6019
2019-11-12,83.80615
2019-11-13,87.03855
2019-11-14,83.259895
2019-11-15,85.83744
2019-11-16,90.21518
2019-11-17,92.52041
2019-11-18,90.039314
2019-11-19,86.97798
2019-11-20,93.7731
2019-11-21,94.67206
2019-11-22,92.17672
2019-11-23,84.9727
2019-11-24,89.78906
2019-11-25,95.40938
2019-11-26,92.69637
2019-11-27,88.723305
2019-11-28,84.219055
2019-11-29,81.77411
2019-11-30,87.58253
2019-12-01,89.9574
2019-12-02,88.006226
2019-12-03,90.51091
2019-12-04,87.11855
2019-12-05,87.872795
2019-12-06,85.60678
2019-12-07,86.71761
2019-12-08,80.60293
2019-12-09,81.67459
2019-12-10,82.48989
2019-12-11,83.22215
2019-12-12,90.72695
2019-12-13,87.50102
2019-12-14,83.11333
2019-12-15,79.49464
2019-12-16,87.034256
2019-12-17,78.18181
2019-12-18,85.86183
2019-12-19,88.52898
2019-12-20,83.95232
2019-12-21,88.674324
2019-12-22,91.13286
2019-12-23,88.1298
2019-12-24,88.38989
2019-12-25,91.36042
2019-12-26,90.981285
2019-12-27,88.97143
2019-12-28,83.930466
2019-12-29,78.66169
2019-12-30,59.681892
2019-12-31,79.65564
2020-01-01,89.40705
2020-01-02,87.542435
2020-01-03,89.53007
2020-01-04,86.11375
2020-01-05,88.3731
2020-01-06,86.90501
2020-01-07,90.632065
2020-01-08,89.9784
2020-01-09,90.16188
2020-01-10,85.08066
2020-01-11,83.35855
2020-01-12,84.88706
2020-01-13,87.8612
2020-01-14,74.6006
2020-01-15,68.00852
2020-01-16,81.50603
2020-01-17,84.43594
2020-01-18,84.506836
2020-01-19,89.29114
2020-01-20,88.990326
2020-01-21,85.91586
2020-01-22,90.37428
2020-01-23,89.48304
2020-01-24,89.86106
2020-01-25,93.31487
2020-01-26,93.03569
2020-01-27,88.951866
2020-01-28,84.725555
2020-01-29,83.26481
2020-01-30,82.40916
2020-01-31,83.44383
2020-02-01,83.43776
2020-02-02,84.87423
2020-02-03,86.38643
2020-02-04,84.46525
2020-02-05,76.63577
2020-02-06,81.72647
2020-02-07,81.86738
2020-02-08,77.826805
2020-02-09,69.511314
2020-02-10,74.45491
2020-02-11,74.7573
2020-02-12,74.64701
2020-02-13,82.73887
2020-02-14,86.70452
2020-02-15,78.49602
2020-02-16,62.290077
2020-02-17,72.767395
2020-02-18,73.77747
2020-02-19,77.73675
2020-02-20,80.96055
2020-02-21,72.42968
2020-02-22,65.268875
2020-02-23,80.793205
2020-02-24,83.00336
2020-02-25,77.57125
2020-02-26,84.83761
2020-02-27,84.10671
2020-02-28,77.055984
2020-02-29,76.89824
2020-03-01,72.58012
2020-03-02,77.817245
2020-03-03,82.330666
2020-03-04,83.07926
2020-03-05,81.37207
2020-03-06,86.71244
2020-03-07,80.05752
2020-03-08,75.37026
2020-03-09,82.3491
2020-03-10,89.85245
2020-03-11,80.4667
2020-03-12,69.36649
2020-03-13,70.933304
2020-03-14,70.43539
2020-03-15,58.80713
2020-03-16,63.610855
2020-03-17,71.6891
2020-03-18,70.1346
2020-03-19,74.707985
2020-03-20,77.40098
2020-03-21,71.613075
2020-03-22,54.916126
2020-03-23,45.353596
2020-03-24,43.24049
2020-03-25,42.258453
2020-03-26,50.64508
2020-03-27,54.331795
2020-03-28,59.07711
